2025-04-12 19:48:11.525 [warning] Dir "/home/apoorvtripathi537/.pixi/envs" is not watchable (directory does not exist)
2025-04-12 19:48:11.525 [info] Python interpreter path: ./venv-translate/bin/python
2025-04-12 19:48:13.333 [info] > pyenv which python
2025-04-12 19:48:13.333 [info] cwd: .
2025-04-12 19:48:16.964 [info] Starting Jedi language server for apoorvtripathi537.
2025-04-12 19:51:04.260 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 19:51:04.896 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 19:51:06.783 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 19:59:22.562 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 19:59:37.508 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 19:59:39.631 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:00:32.593 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:00:33.983 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:01:32.606 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:01:37.819 [info] CreateEnv Trigger - Skipping for /home/apoorvtripathi537/main.py
2025-04-12 20:01:37.850 [info] Send text to terminal: source /home/apoorvtripathi537/venv-translate/bin/activate
2025-04-12 20:01:38.853 [info] Send text to terminal: /home/apoorvtripathi537/venv-translate/bin/python /home/apoorvtripathi537/main.py
2025-04-12 20:03:19.400 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:03:38.164 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:03:56.875 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:04:01.034 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:04:18.095 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:04:19.514 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
2025-04-12 20:05:39.958 [info] Discover tests for workspace name: apoorvtripathi537 - uri: /home/apoorvtripathi537/main.py
